[09:10:43] device NVIDIA GeForce RTX 2060 SUPER cc (7, 5) SMs 34 L2 4 MiB shared/SM 64 KiB opt-in 64 KiB icache 64 KiB
[09:10:43] backend mlir cubie 0.12.0 cache /home/cca79/orca/workspaces/cubie/landscape-2060/generated
[09:10:46] 50 configurations, 420 kernels to compile
[09:10:54]   compiled chain20/kvaerno3 tierA                               5.4 s 17dc64db7921
[09:10:56]   compiled chain20/kvaerno3 opt:newton_exits=1 accumulator=shared    7.3 s 93689dc31479
[09:10:56]   compiled chain20/kvaerno3 plain                               7.5 s 4dbcaca0f925
[09:10:56]   compiled chain20/kvaerno3 opt:newton_exits=1 accumulator=local    7.5 s 4dbcaca0f925
[09:10:59]   compiled chain20/kvaerno3 opt:newton_exits=0 accumulator=local    5.0 s 256be171268f
[09:11:01]   compiled chain20/kvaerno3 n0o0                                5.0 s 16f5a82fc053
[09:11:01]   compiled chain20/kvaerno3 opt:newton_exits=0 accumulator=shared    5.2 s 4edb14be1831
[09:11:02]   compiled chain20/kvaerno3 n1o0                                6.7 s 7b9330da64b4
[09:11:04]   compiled chain20/kvaerno5 tierA                               5.6 s 904bfd865fc7
[09:11:10]   compiled chain20/kvaerno5 opt:newton_exits=0 accumulator=local    5.6 s 876a5fa485e7
[09:11:12]   compiled chain20/kvaerno5 plain                              11.5 s e34713af4158
[09:11:12]   compiled chain20/kvaerno5 opt:newton_exits=1 accumulator=local   11.6 s e34713af4158
[09:11:14]   compiled chain20/kvaerno5 opt:newton_exits=1 accumulator=shared   11.9 s 82227fb7e760
[09:11:16]   compiled chain20/kvaerno5 opt:newton_exits=0 accumulator=shared    6.6 s 04658955c084
[09:11:18]   compiled chain20/kvaerno5 n0o0                                5.7 s 451a3e4e84f3
[09:11:22]   compiled chain20/radau_iia_3 tierA                               7.7 s 66d999a34f6f
[09:11:23]   compiled chain20/kvaerno5 n1o0                               10.8 s 8e3aa41785e5
[09:11:26]   compiled chain20/radau_iia_3 plain                               9.1 s f0ecdaefbd32
[09:11:26]   compiled chain20/radau_iia_3 opt:newton_exits=1 stage_increment=local    8.1 s f0ecdaefbd32
[09:11:30]   compiled chain20/radau_iia_3 opt:newton_exits=0 stage_increment=local    7.0 s 1a6026fcc4ba
[09:11:31]   compiled chain20/radau_iia_3 opt:newton_exits=1 stage_increment=shared    9.3 s 049f447162eb
[09:11:33]   compiled chain20/radau_iia_3 opt:newton_exits=0 stage_increment=shared    6.9 s 3420fe984a46
[09:11:34]   compiled chain20/radau_iia_3 n0o0                                7.5 s 0dc2b3ee33c2
[09:11:39]   compiled chain20/radau_iia_3 n0o0+stage_increment=shared         7.9 s c54336e3f343
[09:11:39]   compiled chain20/radau_iia_3 n1o0                                9.2 s b5632211b022
[09:11:40]   compiled chain20/radau_iia_3 allrolled                           7.0 s 21cc20c205fc
[09:11:46]   compiled chain20/radau_iia_5 tierA                              12.0 s a4b348f15639
[09:11:55]   compiled chain20/radau_iia_5 opt:newton_exits=1 stage_increment=local   15.5 s a0f66016e672
[09:11:55]   compiled chain20/radau_iia_5 plain                              15.6 s a0f66016e672
[09:11:57]   compiled chain20/radau_iia_5 opt:newton_exits=0 stage_increment=local   11.1 s 6294bef572cb
[09:12:02]   compiled chain20/radau_iia_5 opt:newton_exits=1 stage_increment=shared   16.2 s d7ad9b722493
[09:12:06]   compiled chain20/radau_iia_5 n0o0                               10.9 s fa070c878785
[09:12:07]   compiled chain20/radau_iia_5 opt:newton_exits=0 stage_increment=shared   11.8 s e945a6acfc45
[09:12:13]   compiled chain20/radau_iia_5 n1o0                               15.7 s aa4aa1cac9cb
[09:12:21]   compiled chain20/radau_iia_5 n0o0+stage_increment=shared        11.7 s 3657224762e2
[09:12:21]   compiled chain20/kvaerno3_bicgstab tierA                               7.5 s 014e40fd5d92
[09:12:24]   compiled chain20/radau_iia_5 allrolled                          11.1 s 79f7cb79129f
[09:12:31]   compiled chain20/kvaerno3_bicgstab opt:newton_exits=0 accumulator=local    7.1 s 3a57a71f0da6
[09:12:35]   compiled chain20/kvaerno3_bicgstab plain                              21.0 s 8dd2fbae8c56
[09:12:38]   compiled chain20/kvaerno3_bicgstab opt:newton_exits=0 accumulator=shared    7.0 s 49d10ee2cca4
[09:12:42]   compiled chain20/kvaerno3_bicgstab opt:newton_exits=1 accumulator=shared   20.6 s e09b84cbcf2a
[09:12:42]   compiled chain20/kvaerno3_bicgstab opt:newton_exits=1 accumulator=local   21.4 s 8dd2fbae8c56
[09:12:49]   compiled chain20/kvaerno3_bicgstab n0k0o0                              7.4 s 4a4036761ba1
[09:13:01]   compiled chain20/kvaerno3_bicgstab n1k0o0                             19.3 s c4f19e791d8b
[09:13:07]   compiled chain20/radau_iia_5_bicgstab tierA                              18.1 s 73f060647a2c
[09:13:26]   compiled chain20/kvaerno3_bicgstab n1k1o1                             50.3 s 9346bea1e442
[09:13:30]   compiled chain20/kvaerno3_bicgstab n0k1o1                             51.8 s 768bd2a4a1b8
[09:13:39]   compiled chain20/radau_iia_5_bicgstab plain                              37.5 s 4d8b35a83631
[09:13:45]   compiled chain20/radau_iia_5_bicgstab opt:newton_exits=1 stage_increment=local   37.3 s 4d8b35a83631
[09:13:48]   compiled chain20/radau_iia_5_bicgstab opt:newton_exits=0 stage_increment=local   18.0 s 52aa39484200
[09:13:57]   compiled chain20/radau_iia_5_bicgstab opt:newton_exits=0 stage_increment=shared   17.8 s d941f865f709
[09:14:01]   compiled chain20/radau_iia_5_bicgstab opt:newton_exits=1 stage_increment=shared   35.9 s c50d52da2b8b
[09:14:14]   compiled chain20/radau_iia_5_bicgstab n0k0o0                             17.6 s 3d0c713d0c34
[09:14:17]   compiled chain20/bogacki-shampine-32 tierA                               2.3 s 4e870018e199
[09:14:17]   compiled chain20/bogacki-shampine-32 plain                               0.1 s 4e870018e199
[09:14:17]   compiled chain20/radau_iia_5_bicgstab allrolled                          15.6 s 8403baa63b8e
[09:14:17]   compiled chain20/bogacki-shampine-32 opt:other_small=1 state=local       0.1 s 4e870018e199
[09:14:19]   compiled chain20/bogacki-shampine-32 opt:other_small=1 state=shared      2.3 s f496f61ae1e2
[09:14:22]   compiled chain20/bogacki-shampine-32 opt:other_small=0 state=local       2.3 s 1a52acae23c5
