[09:05:21] device NVIDIA GeForce RTX 4070 SUPER cc (8, 9) SMs 56 L2 48 MiB shared/SM 100 KiB opt-in 99 KiB icache 128 KiB
[09:05:21] backend mlir cubie 0.12.0 cache C:\local_working_projects\orca_worktrees\cubie\cross-machine-autoperf\generated
[09:05:25] 50 configurations, 420 kernels to compile
[09:05:34]   compiled chain20/kvaerno3 tierA                               6.0 s 17dc64db7921
[09:05:37]   compiled chain20/kvaerno3 opt:newton_exits=1 accumulator=shared    8.5 s 93689dc31479
[09:05:37]   compiled chain20/kvaerno3 plain                               8.5 s 4dbcaca0f925
[09:05:37]   compiled chain20/kvaerno3 opt:newton_exits=1 accumulator=local    8.5 s 4dbcaca0f925
[09:05:39]   compiled chain20/kvaerno3 opt:newton_exits=0 accumulator=local    5.2 s 256be171268f
[09:05:42]   compiled chain20/kvaerno3 n0o0                                5.2 s 16f5a82fc053
[09:05:42]   compiled chain20/kvaerno3 opt:newton_exits=0 accumulator=shared    5.4 s 4edb14be1831
[09:05:45]   compiled chain20/kvaerno3 n1o0                                7.7 s 7b9330da64b4
[09:05:46]   compiled chain20/kvaerno5 tierA                               6.3 s 904bfd865fc7
[09:05:52]   compiled chain20/kvaerno5 opt:newton_exits=0 accumulator=local    6.2 s 876a5fa485e7
[09:05:56]   compiled chain20/kvaerno5 opt:newton_exits=1 accumulator=local   14.2 s e34713af4158
[09:05:57]   compiled chain20/kvaerno5 plain                              14.6 s e34713af4158
[09:05:59]   compiled chain20/kvaerno5 opt:newton_exits=1 accumulator=shared   14.1 s 82227fb7e760
[09:05:59]   compiled chain20/kvaerno5 opt:newton_exits=0 accumulator=shared    7.2 s 04658955c084
[09:06:03]   compiled chain20/kvaerno5 n0o0                                6.4 s 451a3e4e84f3
[09:06:07]   compiled chain20/radau_iia_3 tierA                               8.0 s 66d999a34f6f
[09:06:10]   compiled chain20/radau_iia_3 plain                              10.6 s f0ecdaefbd32
[09:06:11]   compiled chain20/kvaerno5 n1o0                               14.9 s 8e3aa41785e5
[09:06:14]   compiled chain20/radau_iia_3 opt:newton_exits=1 stage_increment=local   10.7 s f0ecdaefbd32
[09:06:19]   compiled chain20/radau_iia_3 opt:newton_exits=0 stage_increment=local    9.5 s 1a6026fcc4ba
[09:06:20]   compiled chain20/radau_iia_3 opt:newton_exits=1 stage_increment=shared   13.5 s 049f447162eb
[09:06:22]   compiled chain20/radau_iia_3 opt:newton_exits=0 stage_increment=shared   10.2 s 3420fe984a46
[09:06:24]   compiled chain20/radau_iia_3 n0o0                               10.1 s 0dc2b3ee33c2
[09:06:30]   compiled chain20/radau_iia_3 n0o0+stage_increment=shared        10.1 s c54336e3f343
[09:06:31]   compiled chain20/radau_iia_3 allrolled                          10.0 s 21cc20c205fc
[09:06:33]   compiled chain20/radau_iia_3 n1o0                               13.3 s b5632211b022
[09:06:40]   compiled chain20/radau_iia_5 tierA                              16.4 s a4b348f15639
[09:06:52]   compiled chain20/radau_iia_5 plain                              21.7 s a0f66016e672
[09:06:53]   compiled chain20/radau_iia_5 opt:newton_exits=1 stage_increment=local   22.0 s a0f66016e672
[09:06:58]   compiled chain20/radau_iia_5 opt:newton_exits=0 stage_increment=local   16.4 s 6294bef572cb
[09:07:04]   compiled chain20/radau_iia_5 opt:newton_exits=1 stage_increment=shared   23.5 s d7ad9b722493
[09:07:09]   compiled chain20/radau_iia_5 opt:newton_exits=0 stage_increment=shared   16.8 s e945a6acfc45
[09:07:10]   compiled chain20/radau_iia_5 n0o0                               17.0 s fa070c878785
[09:07:21]   compiled chain20/radau_iia_5 n1o0                               22.6 s aa4aa1cac9cb
[09:07:31]   compiled chain20/radau_iia_5 n0o0+stage_increment=shared        17.6 s 3657224762e2
[09:07:33]   compiled chain20/kvaerno3_bicgstab tierA                              13.3 s 014e40fd5d92
[09:07:36]   compiled chain20/radau_iia_5 allrolled                          17.2 s 79f7cb79129f
[09:07:49]   compiled chain20/kvaerno3_bicgstab opt:newton_exits=0 accumulator=local   13.0 s 3a57a71f0da6
[09:07:59]   compiled chain20/kvaerno3_bicgstab plain                              37.8 s 8dd2fbae8c56
[09:08:00]   compiled chain20/kvaerno3_bicgstab opt:newton_exits=0 accumulator=shared   11.0 s 49d10ee2cca4
